Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0
"Apr-2016",0.6
"May-2016",227.6
"Jun-2016",71.6
"Jul-2016",40.5
"Aug-2016",20
"Sep-2016",80.6
"Oct-2016",0
"Nov-2016",92
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",11.6
"May-2017",50
"Jun-2017",74.4
"Jul-2017",112
"Aug-2017",230.8
"Sep-2017",183.6
"Oct-2017",102.2
"Nov-2017",45.4
"Dec-2017",9
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0.4
"Apr-2018",106.6
"May-2018",135
"Jun-2018",140
"Jul-2018",123.6
"Aug-2018",106.7
"Sep-2018",73
"Oct-2018",36.2
"Nov-2018",20
"Dec-2018",2.2
"Jan-2019",0
"Feb-2019",0
"Mar-2019",2.8
"Apr-2019",39.8
"May-2019",4.2
"Jun-2019",0
"Jul-2019",1
"Aug-2019",124.4
"Sep-2019",380.6
"Oct-2019",334.2
"Nov-2019",0
"Dec-2019",0
"Jan-2020",1
"Feb-2020",19.6
"Mar-2020",0
"Apr-2020",0
"May-2020",0
"Jun-2020",232.2
"Jul-2020",279.6
"Aug-2020",130
"Sep-2020",134.4
"Oct-2020",385.4
"Nov-2020",136.4
"Dec-2020",0
"Jan-2021",0
"Feb-2021",0
"Mar-2021",0
"Apr-2021",18
"May-2021",109.6
"Jun-2021",53.8
"Jul-2021",124.6
"Aug-2021",210.4
"Sep-2021",500.6
"Oct-2021",131
"Nov-2021",122.6
"Dec-2021",6.2
"Jan-2022",1
