Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0
"Apr-2016",0
"May-2016",0
"Jun-2016",190.4
"Jul-2016",324
"Aug-2016",205
"Sep-2016",397
"Oct-2016",200.6
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",0
"May-2017",25.2
"Jun-2017",137
"Jul-2017",137.2
"Aug-2017",429.6
"Sep-2017",77.4
"Oct-2017",204.2
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",45.8
"Mar-2018",24.4
"Apr-2018",72
"May-2018",61.4
"Jun-2018",273
"Jul-2018",204.6
"Aug-2018",557.2
"Sep-2018",108
"Oct-2018",4.2
"Nov-2018",0
"Dec-2018",0
"Jan-2019",0
"Feb-2019",0
"Mar-2019",0
"Apr-2019",0
"May-2019",0
"Jun-2019",0
"Jul-2019",0
"Aug-2019",0
"Sep-2019",0
"Oct-2019",0
"Nov-2019",192
"Dec-2019",0
"Jan-2020",0
"Feb-2020",0
"Mar-2020",0
"Apr-2020",0
"May-2020",0
"Jun-2020",4358
"Jul-2020",27119
"Aug-2020",32210.5
"Sep-2020",9816
"Oct-2020",0
"Nov-2020",0
"Dec-2020",0
"Jan-2021",0
"Feb-2021",0
"Mar-2021",0
"Apr-2021",0
"May-2021",0
"Jun-2021",0
"Jul-2021",2
"Aug-2021",205.4
"Sep-2021",5.6
"Oct-2021",0
"Nov-2021",41.5
"Dec-2021",191.4
"Jan-2022",1
