Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0
"Apr-2016",0
"May-2016",208
"Jun-2016",134.56
"Jul-2016",63
"Aug-2016",68
"Sep-2016",131
"Oct-2016",37
"Nov-2016",0
"Dec-2016",5
"Jan-2017",0
"Feb-2017",10
"Mar-2017",9
"Apr-2017",15
"May-2017",0
"Jun-2017",100
"Jul-2017",180
"Aug-2017",140
"Sep-2017",0
"Oct-2017",80
"Nov-2017",60
"Dec-2017",50
"Jan-2018",0
"Feb-2018",10
"Mar-2018",15
"Apr-2018",0
"May-2018",0
"Jun-2018",100
"Jul-2018",90
"Aug-2018",214
"Sep-2018",84
"Oct-2018",11
"Nov-2018",14
"Dec-2018",153
"Jan-2019",0
"Feb-2019",0
"Mar-2019",150
"Apr-2019",200
"May-2019",80
"Jun-2019",17
"Jul-2019",50
"Aug-2019",300
"Sep-2019",250
"Oct-2019",290
"Nov-2019",167
"Dec-2019",50
"Jan-2020",50
"Feb-2020",45
"Mar-2020",16
"Apr-2020",80
"May-2020",100
"Jun-2020",0
"Jul-2020",360
"Aug-2020",214
"Sep-2020",60
"Oct-2020",10
"Nov-2020",15
"Dec-2020",130
"Jan-2021",100
"Feb-2021",0
"Mar-2021",150
"Apr-2021",45
"May-2021",37
"Jun-2021",17
"Jul-2021",15
"Aug-2021",190
"Sep-2021",0
"Oct-2021",222
"Nov-2021",356
"Dec-2021",150
"Jan-2022",60

