Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0
"Apr-2016",0
"May-2016",156
"Jun-2016",372.7
"Jul-2016",62.7
"Aug-2016",135.8
"Sep-2016",135.4
"Oct-2016",68
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",0
"May-2017",20
"Jun-2017",111.3
"Jul-2017",180.2
"Aug-2017",89.2
"Sep-2017",48.9
"Oct-2017",198
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0
"Apr-2018",0
"May-2018",0
"Jun-2018",165.2
"Jul-2018",281.9
"Aug-2018",226.9
"Sep-2018",58
"Oct-2018",51
"Nov-2018",0
"Dec-2018",61.1
"Jan-2019",0
"Feb-2019",10
"Mar-2019",80
"Apr-2019",50
"May-2019",40
"Jun-2019",140
"Jul-2019",180
"Aug-2019",137
"Sep-2019",70
"Oct-2019",9
"Nov-2019",11
"Dec-2019",146
"Jan-2020",15
"Feb-2020",50
"Mar-2020",0
"Apr-2020",80
"May-2020",16
"Jun-2020",200
"Jul-2020",208
"Aug-2020",298
"Sep-2020",150
"Oct-2020",77
"Nov-2020",10
"Dec-2020",8
"Jan-2021",0
"Feb-2021",80
"Mar-2021",128
"Apr-2021",0
"May-2021",7
"Jun-2021",199
"Jul-2021",250
"Aug-2021",200
"Sep-2021",166
"Oct-2021",80
"Nov-2021",15
"Dec-2021",50
"Jan-2022",10
