Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",5
"Mar-2016",16.4
"Apr-2016",0
"May-2016",19.8
"Jun-2016",141.9
"Jul-2016",642.4
"Aug-2016",122
"Sep-2016",131.6
"Oct-2016",116.6
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0.6
"Apr-2017",0.8
"May-2017",32.4
"Jun-2017",191.8
"Jul-2017",308.4
"Aug-2017",142
"Sep-2017",150.4
"Oct-2017",53.8
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",44.8
"Mar-2018",4.8
"Apr-2018",3
"May-2018",22.4
"Jun-2018",237.6
"Jul-2018",539.69
"Aug-2018",159.4
"Sep-2018",345.8
"Oct-2018",0
"Nov-2018",0
"Dec-2018",1.04
"Jan-2019",0
"Feb-2019",0
"Mar-2019",0
"Apr-2019",5
"May-2019",0
"Jun-2019",3.8
"Jul-2019",274.2
"Aug-2019",353.6
"Sep-2019",123.4
"Oct-2019",48.6
"Nov-2019",4.8
"Dec-2019",4.8
"Jan-2020",53.6
"Feb-2020",9.2
"Mar-2020",7.2
"Apr-2020",0
"May-2020",39.6
"Jun-2020",237.4
"Jul-2020",320.8
"Aug-2020",193.6
"Sep-2020",111.8
"Oct-2020",144.4
"Nov-2020",0
"Dec-2020",0
"Jan-2021",0
"Feb-2021",7
"Mar-2021",18
"Apr-2021",0
"May-2021",1438.1
"Jun-2021",228.8
"Jul-2021",397.6
"Aug-2021",227.4
"Sep-2021",220
"Oct-2021",29.4
"Nov-2021",4
"Dec-2021",8.8
"Jan-2022",16.6
