Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",25.4
"Apr-2016",11.2
"May-2016",72
"Jun-2016",409.2
"Jul-2016",462.2
"Aug-2016",321.8
"Sep-2016",285
"Oct-2016",108.8
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",8.2
"Apr-2017",0
"May-2017",3.8
"Jun-2017",355
"Jul-2017",416.4
"Aug-2017",611
"Sep-2017",131.6
"Oct-2017",194.2
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0
"Apr-2018",128.4
"May-2018",113.08
"Jun-2018",56.6
"Jul-2018",347
"Aug-2018",621.4
"Sep-2018",278.6
"Oct-2018",6.4
"Nov-2018",0
"Dec-2018",63.8
"Jan-2019",5.2
"Feb-2019",0
"Mar-2019",0
"Apr-2019",9.6
"May-2019",11.6
"Jun-2019",48
"Jul-2019",313.4
"Aug-2019",526.8
"Sep-2019",218.5
"Oct-2019",117.4
"Nov-2019",0
"Dec-2019",2.6
"Jan-2020",4.2
"Feb-2020",0
"Mar-2020",15
"Apr-2020",12
"May-2020",17.6
"Jun-2020",184
"Jul-2020",126
"Aug-2020",515.6
"Sep-2020",243.8
"Oct-2020",136.8
"Nov-2020",70
"Dec-2020",0
"Jan-2021",0
"Feb-2021",5
"Mar-2021",5.5
"Apr-2021",606.5
"May-2021",250
"Jun-2021",224.27
"Jul-2021",222.2
"Aug-2021",465
"Sep-2021",249.3
"Oct-2021",30.8
"Nov-2021",1.7
"Dec-2021",0
"Jan-2022",98.4
