Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",19
"Mar-2016",37
"Apr-2016",60
"May-2016",45
"Jun-2016",0
"Jul-2016",70
"Aug-2016",100
"Sep-2016",35
"Oct-2016",0
"Nov-2016",0
"Dec-2016",80
"Jan-2017",0
"Feb-2017",63
"Mar-2017",15
"Apr-2017",33
"May-2017",7
"Jun-2017",63.2
"Jul-2017",119.4
"Aug-2017",127.4
"Sep-2017",84.8
"Oct-2017",60.6
"Nov-2017",90
"Dec-2017",110
"Jan-2018",0
"Feb-2018",6.6
"Mar-2018",10
"Apr-2018",3.8
"May-2018",52
"Jun-2018",53
"Jul-2018",609.4
"Aug-2018",321.5
"Sep-2018",177.2
"Oct-2018",6.4
"Nov-2018",0
"Dec-2018",89.8
"Jan-2019",1.6
"Feb-2019",17.4
"Mar-2019",26
"Apr-2019",60
"May-2019",10.4
"Jun-2019",1.6
"Jul-2019",152.6
"Aug-2019",397.8
"Sep-2019",341.4
"Oct-2019",30.2
"Nov-2019",90
"Dec-2019",100.2
"Jan-2020",60
"Feb-2020",170
"Mar-2020",180
"Apr-2020",290.8
"May-2020",10
"Jun-2020",398.6
"Jul-2020",269.8
"Aug-2020",586.6
"Sep-2020",148.6
"Oct-2020",57.8
"Nov-2020",50
"Dec-2020",48
"Jan-2021",10
"Feb-2021",0
"Mar-2021",0
"Apr-2021",3.8
"May-2021",41.6
"Jun-2021",146.6
"Jul-2021",223.6
"Aug-2021",189.4
"Sep-2021",374.8
"Oct-2021",15.4
"Nov-2021",0
"Dec-2021",55.2
"Jan-2022",44.6
