Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0
"Apr-2016",4.4
"May-2016",22.4
"Jun-2016",81.6
"Jul-2016",137
"Aug-2016",49
"Sep-2016",247
"Oct-2016",54.4
"Nov-2016",0
"Dec-2016",4.2
"Jan-2017",0
"Feb-2017",0
"Mar-2017",11.6
"Apr-2017",0
"May-2017",20.6
"Jun-2017",152.4
"Jul-2017",11.4
"Aug-2017",161.9
"Sep-2017",177.6
"Oct-2017",105.6
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0
"Apr-2018",16.4
"May-2018",13.6
"Jun-2018",83.8
"Jul-2018",47
"Aug-2018",75.8
"Sep-2018",6.7
"Oct-2018",53.1
"Nov-2018",32.8
"Dec-2018",0
"Jan-2019",0
"Feb-2019",0
"Mar-2019",0.2
"Apr-2019",0.7
"May-2019",0
"Jun-2019",35.4
"Jul-2019",84.6
"Aug-2019",51.6
"Sep-2019",167.09
"Oct-2019",257.4
"Nov-2019",21.5
"Dec-2019",2.8
"Jan-2020",0
"Feb-2020",0
"Mar-2020",0
"Apr-2020",45
"May-2020",198.5
"Jun-2020",212.3
"Jul-2020",221.4
"Aug-2020",111.8
"Sep-2020",162.8
"Oct-2020",240.4
"Nov-2020",0
"Dec-2020",0
"Jan-2021",0
"Feb-2021",0
"Mar-2021",0
"Apr-2021",5.2
"May-2021",47.4
"Jun-2021",74.8
"Jul-2021",122.4
"Aug-2021",75.8
"Sep-2021",228.6
"Oct-2021",38.8
"Nov-2021",15.6
"Dec-2021",8
"Jan-2022",0
