Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",7.6
"Apr-2016",0
"May-2016",42.2
"Jun-2016",445.4
"Jul-2016",194.4
"Aug-2016",164.2
"Sep-2016",387.6
"Oct-2016",125.4
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",24.2
"Apr-2017",0
"May-2017",12.6
"Jun-2017",260.4
"Jul-2017",288.6
"Aug-2017",120.6
"Sep-2017",87.6
"Oct-2017",60.2
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",1
"Apr-2018",54.4
"May-2018",37.4
"Jun-2018",271.6
"Jul-2018",502.4
"Aug-2018",518.6
"Sep-2018",39
"Oct-2018",5
"Nov-2018",0
"Dec-2018",60.2
"Jan-2019",5.4
"Feb-2019",0
"Mar-2019",1
"Apr-2019",0
"May-2019",0
"Jun-2019",0
"Jul-2019",175.6
"Aug-2019",463.4
"Sep-2019",215.4
"Oct-2019",221
"Nov-2019",0
"Dec-2019",5
"Jan-2020",0
"Feb-2020",0
"Mar-2020",0
"Apr-2020",1
"May-2020",361.7
"Jun-2020",150.8
"Jul-2020",386
"Aug-2020",778
"Sep-2020",1022
"Oct-2020",906.7
"Nov-2020",0
"Dec-2020",0
"Jan-2021",0
"Feb-2021",0
"Mar-2021",0
"Apr-2021",7473.7
"May-2021",1355.1
"Jun-2021",95.1
"Jul-2021",405.5
"Aug-2021",196.2
"Sep-2021",1696.2
"Oct-2021",106
"Nov-2021",200.3
"Dec-2021",4
"Jan-2022",22.4
