Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",25
"Apr-2016",0
"May-2016",30
"Jun-2016",301.2
"Jul-2016",374.2
"Aug-2016",189.4
"Sep-2016",374.2
"Oct-2016",116.4
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",12.2
"Apr-2017",0
"May-2017",75.2
"Jun-2017",367
"Jul-2017",192.4
"Aug-2017",371.4
"Sep-2017",81.2
"Oct-2017",65.6
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",3.6
"Mar-2018",3
"Apr-2018",39.2
"May-2018",36
"Jun-2018",204.2
"Jul-2018",404.2
"Aug-2018",520
"Sep-2018",52.4
"Oct-2018",37.6
"Nov-2018",0
"Dec-2018",24
"Jan-2019",2.8
"Feb-2019",2.2
"Mar-2019",7
"Apr-2019",4
"May-2019",0
"Jun-2019",0
"Jul-2019",212.6
"Aug-2019",522.2
"Sep-2019",251.4
"Oct-2019",98.4
"Nov-2019",0
"Dec-2019",0.6
"Jan-2020",0
"Feb-2020",0
"Mar-2020",0
"Apr-2020",0.4
"May-2020",0
"Jun-2020",257
"Jul-2020",259
"Aug-2020",343.4
"Sep-2020",227.4
"Oct-2020",120.69
"Nov-2020",220
"Dec-2020",0
"Jan-2021",0.3
"Feb-2021",108
"Mar-2021",112
"Apr-2021",0.8
"May-2021",0
"Jun-2021",118.8
"Jul-2021",478
"Aug-2021",115.6
"Sep-2021",300
"Oct-2021",126.8
"Nov-2021",17.8
"Dec-2021",15.6
"Jan-2022",17.2
