Dates,ACTUAL (mm) 
"Jan-2016",7.2
"Feb-2016",0
"Mar-2016",67.6
"Apr-2016",0
"May-2016",28.8
"Jun-2016",367
"Jul-2016",352.8
"Aug-2016",289.6
"Sep-2016",293.6
"Oct-2016",138
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",28.4
"Apr-2017",0
"May-2017",0
"Jun-2017",208.2
"Jul-2017",223.6
"Aug-2017",272.2
"Sep-2017",94.5
"Oct-2017",147.4
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0
"Apr-2018",17
"May-2018",24.4
"Jun-2018",236.6
"Jul-2018",325.2
"Aug-2018",537.6
"Sep-2018",134
"Oct-2018",16.8
"Nov-2018",0
"Dec-2018",61.2
"Jan-2019",30
"Feb-2019",0
"Mar-2019",0
"Apr-2019",20.8
"May-2019",0
"Jun-2019",0
"Jul-2019",325.4
"Aug-2019",552.2
"Sep-2019",145.8
"Oct-2019",237.2
"Nov-2019",0.5
"Dec-2019",0
"Jan-2020",167.5
"Feb-2020",0
"Mar-2020",0
"Apr-2020",264.5
"May-2020",25.1
"Jun-2020",259.2
"Jul-2020",392
"Aug-2020",1511.6
"Sep-2020",254.7
"Oct-2020",657.3
"Nov-2020",235.5
"Dec-2020",0.5
"Jan-2021",2
"Feb-2021",1
"Mar-2021",0
"Apr-2021",1095
"May-2021",992.4
"Jun-2021",274.8
"Jul-2021",361.4
"Aug-2021",160.6
"Sep-2021",305.64
"Oct-2021",62.2
"Nov-2021",11.2
"Dec-2021",0
"Jan-2022",102.8
