Dates,ACTUAL (mm) 
"Jan-2016",1
"Feb-2016",0
"Mar-2016",0
"Apr-2016",0
"May-2016",104
"Jun-2016",190
"Jul-2016",161
"Aug-2016",193.4
"Sep-2016",236
"Oct-2016",17.8
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",31.8
"Apr-2017",21
"May-2017",13.2
"Jun-2017",147.4
"Jul-2017",183
"Aug-2017",122.2
"Sep-2017",166.9
"Oct-2017",234.2
"Nov-2017",30.2
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0
"Apr-2018",39.4
"May-2018",31.6
"Jun-2018",139.3
"Jul-2018",313.6
"Aug-2018",222.7
"Sep-2018",128.6
"Oct-2018",20.6
"Nov-2018",7.2
"Dec-2018",89.2
"Jan-2019",27.8
"Feb-2019",0
"Mar-2019",0
"Apr-2019",4.4
"May-2019",0
"Jun-2019",1.2
"Jul-2019",184.8
"Aug-2019",168.8
"Sep-2019",107.4
"Oct-2019",99.7
"Nov-2019",0
"Dec-2019",3.6
"Jan-2020",0
"Feb-2020",0
"Mar-2020",2.4
"Apr-2020",5
"May-2020",0
"Jun-2020",163
"Jul-2020",430.4
"Aug-2020",77.7
"Sep-2020",197.4
"Oct-2020",246
"Nov-2020",80
"Dec-2020",0
"Jan-2021",50.2
"Feb-2021",162
"Mar-2021",0
"Apr-2021",0
"May-2021",68
"Jun-2021",46.9
"Jul-2021",227.6
"Aug-2021",168.6
"Sep-2021",463
"Oct-2021",40.8
"Nov-2021",24
"Dec-2021",0
"Jan-2022",19.6
