Dates,ACTUAL (mm) 
"Jan-2016",15.2
"Feb-2016",1e-15
"Mar-2016",57.2
"Apr-2016",175.1
"May-2016",180.1
"Jun-2016",144.5
"Jul-2016",232.9
"Aug-2016",60.7
"Sep-2016",190
"Oct-2016",102.2
"Nov-2016",1e-15
"Dec-2016",5.2
"Jan-2017",1e-15
"Feb-2017",14
"Mar-2017",19.6
"Apr-2017",163.4
"May-2017",105.3
"Jun-2017",212.4
"Jul-2017",274.3
"Aug-2017",185.4
"Sep-2017",300.8
"Oct-2017",139.5
"Nov-2017",19.2
"Dec-2017",1e-15
"Jan-2018",1e-15
"Feb-2018",1e-15
"Mar-2018",85.7
"Apr-2018",43.7
"May-2018",12
"Jun-2018",14.2
"Jul-2018",17.2
"Aug-2018",2.2
"Sep-2018",73.1
"Oct-2018",1e-15
"Nov-2018",1e-15
"Dec-2018",32.7
"Jan-2019",1e-15
"Feb-2019",11.5
"Mar-2019",37
"Apr-2019",90.4
"May-2019",171.8
"Jun-2019",20.8
"Jul-2019",325.4
"Aug-2019",552.2
"Sep-2019",145.8
"Oct-2019",237.2
"Nov-2019",0.5
"Dec-2019",1e-15
"Jan-2020",167.5
"Feb-2020",1e-15
"Mar-2020",1e-15
"Apr-2020",264.5
"May-2020",25.1
"Jun-2020",259.2
"Jul-2020",392
"Aug-2020",1511.6
"Sep-2020",254.7
"Oct-2020",657.3
"Nov-2020",235.5
"Dec-2020",0.5
"Jan-2021",2
"Feb-2021",1
"Mar-2021",1e-15
"Apr-2021",1095
"May-2021",992.4
"Jun-2021",274.8
"Jul-2021",361.4
"Aug-2021",160.6
"Sep-2021",305.64
"Oct-2021",62.2
"Nov-2021",11.2
"Dec-2021",1e-15
"Jan-2022",102.8
