Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0
"Apr-2016",7
"May-2016",40.8
"Jun-2016",467.8
"Jul-2016",174.5
"Aug-2016",258.2
"Sep-2016",337.4
"Oct-2016",92.4
"Nov-2016",1.6
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",4.4
"Apr-2017",8.6
"May-2017",43
"Jun-2017",344.6
"Jul-2017",283.4
"Aug-2017",376.2
"Sep-2017",116.6
"Oct-2017",133.2
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",7.4
"Apr-2018",62.4
"May-2018",24.6
"Jun-2018",141.2
"Jul-2018",462.6
"Aug-2018",683.29
"Sep-2018",128.4
"Oct-2018",9.2
"Nov-2018",0
"Dec-2018",66.4
"Jan-2019",8.6
"Feb-2019",0
"Mar-2019",12.8
"Apr-2019",0
"May-2019",0
"Jun-2019",0
"Jul-2019",199.6
"Aug-2019",492
"Sep-2019",200.4
"Oct-2019",80.2
"Nov-2019",0
"Dec-2019",3.6
"Jan-2020",0
"Feb-2020",0
"Mar-2020",0
"Apr-2020",0
"May-2020",0
"Jun-2020",148.2
"Jul-2020",387
"Aug-2020",314.6
"Sep-2020",102.4
"Oct-2020",227
"Nov-2020",0
"Dec-2020",0
"Jan-2021",0
"Feb-2021",0
"Mar-2021",0
"Apr-2021",0
"May-2021",0
"Jun-2021",129.6
"Jul-2021",331
"Aug-2021",161.1
"Sep-2021",303
"Oct-2021",39.2
"Nov-2021",15.2
"Dec-2021",0
"Jan-2022",34.8
