undefined

Dates,ACTUAL (mm) 
"Jun-2016",183.4
"Jul-2016",252.8
"Aug-2016",198
"Sep-2016",324.6
"Oct-2016",0
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",22
"Apr-2017",0
"May-2017",8.4
"Jun-2017",78.2
"Jul-2017",149.6
"Aug-2017",330
"Sep-2017",246.8
"Oct-2017",41.8
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",18.6
"Mar-2018",0.4
"Apr-2018",7.6
"May-2018",11.4
"Jun-2018",161.8
"Jul-2018",295
"Aug-2018",384
"Sep-2018",129.2
"Oct-2018",14.6
"Nov-2018",0
"Dec-2018",56.8
"Jan-2019",27.4
"Feb-2019",9.4
"Jun-2019",0
"Jul-2019",155
"Aug-2019",134
"Sep-2019",271
"Oct-2019",155.6
"Jun-2020",260.4
"Jul-2020",207.2
"Aug-2020",381
"Sep-2020",104.2
"Oct-2020",41.8
"Feb-2021",0
"Mar-2021",0
"Apr-2021",0
"May-2021",103.2
"Jun-2021",183.4
"Jul-2021",172.6
"Aug-2021",189.8
"Sep-2021",314.2
"Oct-2021",7.4
"Nov-2021",13.4
"Dec-2021",85.6
"Jan-2022",28
