Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0.6
"Apr-2016",0.8
"May-2016",0
"Jun-2016",10.8
"Jul-2016",6.4
"Aug-2016",0.4
"Sep-2016",11.8
"Oct-2016",1
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",0
"May-2017",7.6
"Jun-2017",4.6
"Jul-2017",1.6
"Aug-2017",18.4
"Sep-2017",0.6
"Oct-2017",0
"Nov-2017",0.8
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",2.4
"Apr-2018",0
"May-2018",0
"Jun-2018",7.4
"Jul-2018",0.8
"Aug-2018",2
"Sep-2018",1.2
"Oct-2018",0
"Nov-2018",0
"Dec-2018",0
"Jan-2019",0
"Feb-2019",0
"Mar-2019",0
"Apr-2019",0
"May-2019",0
"Jun-2019",0
"Jul-2019",245.8
"Aug-2019",778.4
"Sep-2019",362.4
"Oct-2019",215.6
"Nov-2019",85.4
"Dec-2019",0
"Jun-2020",193.4
"Jul-2020",103.4
"Aug-2020",291.4
"Sep-2020",246.2
"Oct-2020",13.4
"Nov-2020",0
"Dec-2020",0
"Apr-2021",0
"Jun-2021",114.4
"Jul-2021",116
"Aug-2021",123.4
"Sep-2021",299.4
"Oct-2021",73.6
"Dec-2021",0.6
"Jan-2022",0
