Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",17.2
"Mar-2016",24.8
"Apr-2016",0
"May-2016",2.8
"Jun-2016",299.8
"Jul-2016",565.4
"Aug-2016",68.4
"Sep-2016",115.4
"Oct-2016",29
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",2
"Apr-2017",0
"May-2017",0
"Jun-2017",185
"Jul-2017",205.43
"Aug-2017",127.2
"Sep-2017",238.6
"Oct-2017",34.6
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",19.2
"Apr-2018",15
"May-2018",6
"Jun-2018",140.68
"Jul-2018",243.4
"Aug-2018",121.4
"Sep-2018",98.8
"Oct-2018",0
"Nov-2018",0
"Dec-2018",1.4
"Jan-2019",0
"Feb-2019",0
"Jun-2019",0
"Jul-2019",346.2
"Aug-2019",223.6
"Sep-2019",130.6
"Oct-2019",79.8
"Nov-2019",5
"Dec-2019",0.8
"Jan-2020",39.4
"Feb-2020",0
"Mar-2020",4
"Apr-2020",0
"May-2020",4
"Jun-2020",253.8
"Jul-2020",347.8
"Aug-2020",180.6
"Sep-2020",130.4
"Oct-2020",62
"Nov-2020",3
"Dec-2020",0
"Jan-2021",0
"Feb-2021",6.2
"Mar-2021",18.4
"Apr-2021",0
"May-2021",25
"Jun-2021",419.6
"Jul-2021",227.2
"Aug-2021",179.2
"Sep-2021",296.4
"Oct-2021",6.6
"Nov-2021",0
"Dec-2021",5
"Jan-2022",13
