undefined

Dates,ACTUAL (mm) 
"Jan-2017",16.2
"Feb-2017",27.4
"Mar-2017",5.2
"Apr-2017",0
"May-2017",10.4
"Jun-2017",130.4
"Jul-2017",331
"Aug-2017",118.2
"Sep-2017",95.4
"Oct-2017",95.4
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",51.8
"Mar-2018",0
"Apr-2018",0
"May-2018",2.4
"Jun-2018",35.4
"Jul-2018",450.4
"Aug-2018",363.4
"Sep-2018",72.2
"Oct-2018",0
"Dec-2018",0
"May-2019",0
"Jul-2019",234
"Aug-2019",768.3
"Sep-2019",349
"Oct-2019",40.1
"Nov-2019",0
"Dec-2019",125.5
"Jan-2020",156
"Feb-2020",0
"Mar-2020",1
"Apr-2020",27
"May-2020",400
"Jun-2020",60.2
"Jul-2020",166.6
"Aug-2020",588.8
"Sep-2020",180.8
"Oct-2020",22.4
"Nov-2020",0
"Dec-2020",0
"Jan-2021",0
"Feb-2021",0
"Mar-2021",66
"Apr-2021",36.5
"May-2021",494
"Jun-2021",87.4
"Jul-2021",173
"Aug-2021",89.6
"Sep-2021",282.8
"Oct-2021",38.2
"Nov-2021",0
"Dec-2021",38.4
"Jan-2022",7
