undefined

Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0
"Apr-2016",0
"May-2016",106
"Jun-2016",254
"Jul-2016",116
"Aug-2016",99
"Sep-2016",198
"Oct-2016",19
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",0
"May-2017",0
"Jun-2017",53
"Jul-2017",197.5
"Aug-2017",153
"Sep-2017",166
"Oct-2017",75
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0
"Apr-2018",0
"May-2018",0
"Jun-2018",179
"Jul-2018",352
"Aug-2018",192.1
"Sep-2018",51.5
"Oct-2018",32
"Nov-2018",14
"Dec-2018",60.4
"Jan-2019",66
"Feb-2019",0
"Apr-2021",0
