Dates,ACTUAL (mm) 
"Jan-2016",30.6
"Feb-2016",0
"Mar-2016",0
"Apr-2016",0
"May-2016",0
"Jun-2016",192.8
"Jul-2016",675.2
"Aug-2016",342
"Sep-2016",337.4
"Oct-2016",97.4
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",0
"May-2017",6.6
"Jun-2017",62.4
"Jul-2017",516.35
"Aug-2017",201.8
"Sep-2017",184
"Oct-2017",34.2
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",26.2
"Mar-2018",2.8
"Apr-2018",6
"May-2018",8.2
"Jun-2018",204.6
"Jul-2018",316.6
"Aug-2018",379.4
"Sep-2018",109.8
"Oct-2018",0
"Nov-2018",0
"Dec-2018",2.8
"Jan-2019",3.4
"Feb-2019",4
"Mar-2019",5.6
"Apr-2019",0
"May-2019",0
"Jun-2019",6.6
"Jul-2019",341.2
"Aug-2019",716.8
"Sep-2019",807.2
"Oct-2019",19.8
"Nov-2019",0
"Dec-2019",0
"Jan-2020",4.4
"Feb-2020",0
"Mar-2020",29
"Apr-2020",298
"May-2020",769.4
"Jun-2020",254.3
"Jul-2020",258.2
"Aug-2020",387
"Sep-2020",187.6
"Oct-2020",83.6
"Nov-2020",0
"Dec-2020",0
"Jan-2021",0
"Feb-2021",0
"Mar-2021",0
"Apr-2021",63
"May-2021",563.6
"Jun-2021",197.4
"Jul-2021",310.3
"Aug-2021",196.9
"Sep-2021",124.6
"Oct-2021",18.6
"Nov-2021",2.2
"Dec-2021",51.1
"Jan-2022",61.8
