Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",23.4
"Apr-2016",0
"May-2016",62
"Jun-2016",292.6
"Jul-2016",242.6
"Aug-2016",298.6
"Sep-2016",394.9
"Oct-2016",37.6
"Nov-2016",16.6
"Dec-2016",13.6
"Jan-2017",0
"Feb-2017",0
"Mar-2017",11
"Apr-2017",22.6
"May-2017",41.8
"Jun-2017",198.4
"Jul-2017",268.6
"Aug-2017",233.4
"Sep-2017",197.4
"Oct-2017",240.8
"Nov-2017",8.4
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0
"Apr-2018",33.4
"May-2018",57.6
"Jun-2018",136.2
"Jul-2018",424.2
"Aug-2018",277.4
"Sep-2018",102.3
"Oct-2018",12.6
"Nov-2018",15.8
"Dec-2018",56.8
"Jan-2019",19.2
"Feb-2019",0
"Mar-2019",3.6
"Apr-2019",26
"May-2019",0
"Jun-2019",6.2
"Jul-2019",139.5
"Aug-2019",251.7
"Sep-2019",795.5
"Oct-2019",532.3
"Nov-2019",45
"Dec-2019",0
"Jan-2020",136.5
"Feb-2020",42
"Mar-2020",51
"Apr-2020",26
"May-2020",3
"Jun-2020",171.8
"Jul-2020",451.3
"Aug-2020",288.9
"Sep-2020",99.4
"Oct-2020",220.4
"Nov-2020",0
"Dec-2020",0
"Jan-2021",0
"Feb-2021",0
"Mar-2021",0
"Apr-2021",210
"May-2021",0
"Jun-2021",68.2
"Jul-2021",434.6
"Aug-2021",128.6
"Sep-2021",418.9
"Oct-2021",94.4
"Nov-2021",22.6
"Dec-2021",0
"Jan-2022",0
