Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",10
"Mar-2016",20
"Apr-2016",0
"May-2016",10
"Jun-2016",78.6
"Jul-2016",448.4
"Aug-2016",210.2
"Sep-2016",260.4
"Oct-2016",77.8
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",0
"May-2017",25.2
"Jun-2017",207.8
"Jul-2017",265.6
"Aug-2017",287.2
"Sep-2017",135.4
"Oct-2017",97.8
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",8.2
"Mar-2018",5
"Apr-2018",78.4
"May-2018",12.2
"Jun-2018",335.8
"Jul-2018",535
"Aug-2018",347.8
"Sep-2018",65.2
"Oct-2018",0
"Nov-2018",25
"Dec-2018",39.4
"Jan-2019",40
"Feb-2019",20
"Mar-2019",0
"Apr-2019",0
"May-2019",0
"Jun-2019",0
"Jul-2019",317.4
"Aug-2019",456.4
"Sep-2019",356.6
"Oct-2019",70.6
"Nov-2019",0
"Dec-2019",10
"Jan-2020",98.2
"Feb-2020",21.4
"Mar-2020",16.2
"Apr-2020",124
"May-2020",91.1
"Jun-2020",177.5
"Jul-2020",309.2
"Aug-2020",514.5
"Sep-2020",104.8
"Oct-2020",54.6
"Nov-2020",2.8
"Dec-2020",0
"Jan-2021",0
"Feb-2021",4.2
"Mar-2021",27.6
"Apr-2021",0
"May-2021",41.2
"Jun-2021",343.2
"Jul-2021",320
"Aug-2021",242
"Sep-2021",259.2
"Oct-2021",27.6
"Nov-2021",0
"Dec-2021",34.8
"Jan-2022",36.8
