Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0
"Apr-2016",0
"May-2016",0
"Jun-2016",353.2
"Jul-2016",56
"Aug-2016",92.6
"Sep-2016",144.6
"Oct-2016",64
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",7.2
"May-2017",24.4
"Jun-2017",156.8
"Jul-2017",158.8
"Aug-2017",124.9
"Sep-2017",59.4
"Oct-2017",49.4
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0
"Apr-2018",0
"May-2018",0
"Jun-2018",66.4
"Jul-2018",204
"Aug-2018",222.4
"Sep-2018",15.2
"Oct-2018",0
"Nov-2018",0
"Dec-2018",26.4
"Jan-2019",2.6
"Feb-2019",0
"Mar-2019",0
"Apr-2019",0
"May-2019",0
"Jun-2019",0
"Jul-2019",13.8
"Aug-2019",42.8
"Sep-2019",112.6
"Oct-2019",26.2
"Nov-2019",372
"Dec-2019",1505
"Jan-2020",983.5
"Feb-2020",34.5
"Mar-2020",6.5
"Apr-2020",29
"May-2020",222
"Jun-2020",63
"Jul-2020",162
"Aug-2020",292.6
"Sep-2020",88.4
"Oct-2020",25.2
"Nov-2020",69.5
"Dec-2020",0
"Jan-2021",535
"Feb-2021",387
"Mar-2021",465.5
"Apr-2021",1.2
"May-2021",242.9
"Jun-2021",192.3
"Jul-2021",31
"Aug-2021",143
"Sep-2021",267.8
"Oct-2021",77.2
"Nov-2021",1.2
"Dec-2021",0
"Jan-2022",1.8
