Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",12.4
"Apr-2016",0
"May-2016",46.6
"Jun-2016",255
"Jul-2016",372.5
"Aug-2016",187.1
"Sep-2016",435.9
"Oct-2016",87.1
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",0
"May-2017",10.2
"Jun-2017",190.1
"Jul-2017",138.4
"Aug-2017",131.2
"Sep-2017",111
"Oct-2017",182.6
"Nov-2017",8.5
"Dec-2017",0
"Jan-2018",0
"Feb-2018",3
"Mar-2018",32
"Apr-2018",0
"May-2018",12.6
"Jun-2018",262.8
"Jul-2018",182
"Aug-2018",336.6
"Sep-2018",103.4
"Oct-2018",0
"Nov-2018",0
"Dec-2018",18.3
"Jan-2019",0
"Feb-2019",25
"Mar-2019",0
"Apr-2019",0
"May-2019",0
"Jun-2019",0
"Jul-2019",190
"Aug-2019",265
"Sep-2019",474.6
"Oct-2019",262.8
"Nov-2019",0
"Dec-2019",0
"Jan-2020",2
"Feb-2020",0
"Mar-2020",0
"Apr-2020",0
"May-2020",406
"Jun-2020",99.4
"Jul-2020",136.8
"Aug-2020",236.7
"Sep-2020",49.8
"Oct-2020",38.6
"Nov-2020",0
"Dec-2020",0
"Jan-2021",288
"Feb-2021",272
"Mar-2021",0
"Apr-2021",38
"May-2021",209
"Jun-2021",207.8
"Jul-2021",659.8
"Aug-2021",121.6
"Sep-2021",334.6
"Oct-2021",133.6
"Nov-2021",30
"Dec-2021",8
"Jan-2022",0
