Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",5.2
"Mar-2016",3.8
"Apr-2016",0
"May-2016",26.6
"Jun-2016",200.4
"Jul-2016",319.6
"Aug-2016",328.6
"Sep-2016",296
"Oct-2016",87.2
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",0
"May-2017",21.4
"Jun-2017",316.2
"Jul-2017",491.2
"Aug-2017",359
"Sep-2017",151.2
"Oct-2017",185.2
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",12.4
"Apr-2018",170.7
"May-2018",5.4
"Jun-2018",233.6
"Jul-2018",595.2
"Aug-2018",452
"Sep-2018",180.2
"Oct-2018",10.4
"Nov-2018",0
"Dec-2018",37.4
"Jan-2019",4.8
"Feb-2019",1.4
"Mar-2019",0
"Apr-2019",10.4
"May-2019",0
"Jun-2019",0
"Jul-2019",331.8
"Aug-2019",642.03
"Sep-2019",248.7
"Oct-2019",529.1
"Nov-2019",0
"Dec-2019",0.4
"Jan-2020",13.5
"Feb-2020",0
"Mar-2020",0
"Apr-2020",0
"May-2020",317.5
"Jun-2020",166
"Jul-2020",728.2
"Aug-2020",317.2
"Sep-2020",130
"Oct-2020",246.8
"Nov-2020",561
"Dec-2020",0
"Jan-2021",0
"Feb-2021",0
"Mar-2021",0
"Apr-2021",0
"May-2021",17.6
"Jun-2021",229
"Jul-2021",458.7
"Aug-2021",284.8
"Sep-2021",239.4
"Oct-2021",73.1
"Nov-2021",32.8
"Dec-2021",0.8
"Jan-2022",10.4
