Dates,ACTUAL (mm) 
"Jan-2016",3.6
"Feb-2016",1
"Mar-2016",22.4
"Apr-2016",1.4
"May-2016",20.8
"Jun-2016",189
"Jul-2016",699
"Aug-2016",339.7
"Sep-2016",482.6
"Oct-2016",75
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",32.4
"Apr-2017",0
"May-2017",13
"Jun-2017",139.8
"Jul-2017",306.2
"Aug-2017",248.4
"Sep-2017",61.8
"Oct-2017",32.2
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0
"Apr-2018",26.4
"May-2018",7
"Jun-2018",215
"Jul-2018",557.4
"Aug-2018",394
"Sep-2018",149.2
"Oct-2018",0
"Nov-2018",0
"Dec-2018",57.2
"Jan-2019",51.6
"Feb-2019",0
"Mar-2019",0
"Apr-2019",9.6
"May-2019",15.6
"Jun-2019",0
"Jul-2019",350.4
"Aug-2019",610.4
"Sep-2019",405
"Oct-2019",312.6
"Nov-2019",0
"Dec-2019",0
"Jan-2020",314
"Feb-2020",0
"Mar-2020",20
"Apr-2020",15
"May-2020",30
"Jun-2020",276.4
"Jul-2020",361.2
"Aug-2020",634.4
"Sep-2020",698.8
"Oct-2020",463.2
"Nov-2020",135
"Dec-2020",0
"Jan-2021",0
"Feb-2021",148
"Mar-2021",48
"Apr-2021",1211
"May-2021",1930
"Jun-2021",156.4
"Jul-2021",153.1
"Aug-2021",179.4
"Sep-2021",283.3
"Oct-2021",29.2
"Nov-2021",2.1
"Dec-2021",0
"Jan-2022",110.6
