Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0
"Apr-2016",0
"May-2016",99.2
"Jun-2016",185
"Jul-2016",133.6
"Aug-2016",150.2
"Sep-2016",216.6
"Oct-2016",67
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",12
"Apr-2017",2
"May-2017",0
"Jun-2017",109
"Jul-2017",244.1
"Aug-2017",153.4
"Sep-2017",275.4
"Oct-2017",111
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0
"Apr-2018",20.6
"May-2018",49
"Jun-2018",134.9
"Jul-2018",313.7
"Aug-2018",181.69
"Sep-2018",69
"Oct-2018",31
"Nov-2018",20
"Dec-2018",63.6
"Jan-2019",57
"Feb-2019",0
"Mar-2019",0
"Apr-2019",0
"May-2019",0
"Jun-2019",0
"Jul-2019",219.12
"Aug-2019",188.6
"Sep-2019",149
"Oct-2019",153.2
"Nov-2019",0
"Dec-2019",0
"Jan-2020",81.5
"Feb-2020",0
"Mar-2020",0
"Apr-2020",2.5
"May-2020",0
"Jun-2020",72
"Jul-2020",485.2
"Aug-2020",996.7
"Sep-2020",411.3
"Oct-2020",567.3
"Nov-2020",1451
"Dec-2020",1.5
"Jan-2021",0
"Feb-2021",0
"Mar-2021",0
"Apr-2021",158
"May-2021",1823.5
"Jun-2021",153.5
"Jul-2021",342.6
"Aug-2021",194
"Sep-2021",387
"Oct-2021",24
"Nov-2021",34
"Dec-2021",0
"Jan-2022",16
