Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",10
"Mar-2016",20
"Apr-2016",7.2
"May-2016",26.2
"Jun-2016",48.6
"Jul-2016",63.4
"Aug-2016",27.6
"Sep-2016",19.6
"Oct-2016",0
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",27
"Apr-2017",24
"May-2017",12
"Jun-2017",95.4
"Jul-2017",11.8
"Aug-2017",60.8
"Sep-2017",45.8
"Oct-2017",0
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0.4
"Apr-2018",58
"May-2018",26.8
"Jun-2018",4.8
"Jul-2018",23.8
"Aug-2018",40
"Sep-2018",7
"Oct-2018",2.8
"Nov-2018",0
"Dec-2018",73.6
"Jan-2019",30
"Feb-2019",15
"Mar-2019",0
"Apr-2019",50
"May-2019",55
"Jun-2019",75
"Jul-2019",106.2
"Aug-2019",432
"Sep-2019",291.4
"Oct-2019",114
"Nov-2019",0
"Dec-2019",12.5
"Jan-2020",188.5
"Feb-2020",0
"Mar-2020",0
"Apr-2020",21.5
"May-2020",230.5
"Jun-2020",371
"Jul-2020",329.2
"Aug-2020",321.8
"Sep-2020",114.6
"Oct-2020",92.4
"Nov-2020",384
"Dec-2020",0
"Jan-2021",0
"Feb-2021",1
"Mar-2021",0
"Apr-2021",0
"May-2021",33.2
"Jun-2021",200.4
"Jul-2021",239
"Aug-2021",161.2
"Sep-2021",164.6
"Oct-2021",3.2
"Nov-2021",514
"Dec-2021",305.4
"Jan-2022",32.9
