Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0
"Apr-2016",0
"May-2016",44
"Jun-2016",539.2
"Jul-2016",225.4
"Aug-2016",324.9
"Sep-2016",370.4
"Oct-2016",50
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",2.2
"Apr-2017",3.9
"May-2017",33
"Jun-2017",186.6
"Jul-2017",274.8
"Aug-2017",509.2
"Sep-2017",89.2
"Oct-2017",94.4
"Nov-2017",2.8
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",3.6
"Apr-2018",88.6
"May-2018",51.2
"Jun-2018",158.8
"Jul-2018",568.8
"Aug-2018",851.2
"Sep-2018",90.6
"Oct-2018",0
"Nov-2018",7.4
"Dec-2018",78.8
"Jan-2019",12.4
"Feb-2019",0
"Mar-2019",12.8
"Apr-2019",0
"May-2019",0
"Jun-2019",0
"Jul-2019",173.3
"Aug-2019",524.6
"Sep-2019",255.6
"Oct-2019",52.6
"Nov-2019",0
"Dec-2019",71.2
"Jan-2020",213
"Feb-2020",0
"Mar-2020",0
"Apr-2020",172.5
"May-2020",0
"Jun-2020",150.4
"Jul-2020",329.2
"Aug-2020",840.7
"Sep-2020",576.1
"Oct-2020",1178.5
"Nov-2020",0
"Dec-2020",0
"Jan-2021",15
"Feb-2021",72
"Mar-2021",0
"Apr-2021",1048
"May-2021",6079
"Jun-2021",1059.7
"Jul-2021",961
"Aug-2021",175.6
"Sep-2021",442.8
"Oct-2021",42.5
"Nov-2021",31
"Dec-2021",0.5
"Jan-2022",25
