Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0
"Apr-2016",0
"May-2016",14.4
"Jun-2016",271
"Jul-2016",198.8
"Aug-2016",265.4
"Sep-2016",332
"Oct-2016",106.6
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",0
"May-2017",66.6
"Jun-2017",286
"Jul-2017",249.2
"Aug-2017",134.8
"Sep-2017",74.2
"Oct-2017",16.8
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0
"Apr-2018",33.6
"May-2018",48.6
"Jun-2018",172
"Jul-2018",419.5
"Aug-2018",388.46
"Sep-2018",134.6
"Oct-2018",0
"Nov-2018",0
"Dec-2018",37.6
"Jan-2019",3
"Feb-2019",1.2
"Mar-2019",3.6
"Apr-2019",0
"May-2019",0
"Jun-2019",20.4
"Jul-2019",132.8
"Aug-2019",440.8
"Sep-2019",246.2
"Oct-2019",79.5
"Nov-2019",0
"Dec-2019",0
"Jan-2020",115.5
"Feb-2020",0
"Mar-2020",0
"Apr-2020",1.5
"May-2020",1.5
"Jun-2020",135.6
"Jul-2020",1359.5
"Aug-2020",987.6
"Sep-2020",381.8
"Oct-2020",240.6
"Nov-2020",4.5
"Dec-2020",0
"Jan-2021",0
"Feb-2021",0
"Mar-2021",0
"Apr-2021",13.5
"May-2021",127
"Jun-2021",315.3
"Jul-2021",372.8
"Aug-2021",235.2
"Sep-2021",423.2
"Oct-2021",62
"Nov-2021",13.6
"Dec-2021",2
"Jan-2022",17.2
