Dates,ACTUAL (mm) 
"Jan-2016",1
"Feb-2016",0
"Mar-2016",12
"Apr-2016",0
"May-2016",31
"Jun-2016",221.4
"Jul-2016",290.6
"Aug-2016",285.2
"Sep-2016",157.4
"Oct-2016",92
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",48.8
"Apr-2017",0
"May-2017",12.6
"Jun-2017",216.2
"Jul-2017",130.8
"Aug-2017",153.4
"Sep-2017",12.6
"Oct-2017",74
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0
"Apr-2018",0
"May-2018",4.4
"Jun-2018",211.2
"Jul-2018",310.6
"Aug-2018",442.4
"Sep-2018",55
"Oct-2018",22.4
"Nov-2018",0
"Dec-2018",13.6
"Jan-2019",27.2
"Feb-2019",4.6
"Mar-2019",0
"Apr-2019",6.6
"May-2019",0
"Jun-2019",0
"Jul-2019",334
"Aug-2019",500.8
"Sep-2019",150.2
"Oct-2019",106.2
"Nov-2019",30
"Dec-2019",20
"Jan-2020",0
"Feb-2020",0
"Mar-2020",0
"Apr-2020",0
"May-2020",60.8
"Jun-2020",241.6
"Jul-2020",331.4
"Aug-2020",958
"Sep-2020",129
"Oct-2020",107.2
"Nov-2020",30
"Dec-2020",0
"Jan-2021",0
"Feb-2021",85.5
"Mar-2021",0
"Apr-2021",1198.5
"May-2021",189.3
"Jun-2021",119
"Jul-2021",349.7
"Aug-2021",145.64
"Sep-2021",364
"Oct-2021",88.8
"Nov-2021",16
"Dec-2021",0
"Jan-2022",64.9
