Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",30
"Mar-2016",55
"Apr-2016",10
"May-2016",15
"Jun-2016",37
"Jul-2016",109.8
"Aug-2016",25
"Sep-2016",157.4
"Oct-2016",0
"Nov-2016",0
"Dec-2016",0
"Jan-2017",4.6
"Feb-2017",0
"Mar-2017",6.6
"Apr-2017",0
"May-2017",0.6
"Jun-2017",10.6
"Jul-2017",161.6
"Aug-2017",4.6
"Sep-2017",1.8
"Oct-2017",0
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",23.6
"Mar-2018",1
"Apr-2018",9
"May-2018",9.8
"Jun-2018",7.6
"Jul-2018",63.6
"Aug-2018",5.6
"Sep-2018",0
"Oct-2018",0
"Nov-2018",0
"Dec-2018",51.2
"Jan-2019",27.4
"Feb-2019",4.6
"Mar-2019",15
"Apr-2019",20
"May-2019",10
"Jun-2019",6
"Jul-2019",79
"Aug-2019",364.8
"Sep-2019",200.6
"Oct-2019",70.8
"Nov-2019",8.5
"Dec-2019",28
"Jan-2020",280.5
"Feb-2020",0
"Mar-2020",0
"Apr-2020",8
"May-2020",478
"Jun-2020",262.6
"Jul-2020",313
"Aug-2020",523
"Sep-2020",130.8
"Oct-2020",15.6
"Nov-2020",0
"Dec-2020",0
"Jan-2021",0
"Feb-2021",6.5
"Mar-2021",12.5
"Apr-2021",4.5
"May-2021",147.2
"Jun-2021",485
"Jul-2021",316.4
"Aug-2021",136.2
"Sep-2021",243.8
"Oct-2021",26.4
"Nov-2021",9.9
"Dec-2021",35
"Jan-2022",8.4
