undefined

Dates,ACTUAL (mm) 
"Jun-2016",84.7
"Jul-2016",611.6
"Aug-2016",275
"Sep-2016",88.2
"Oct-2016",33.4
"Nov-2016",0
"Dec-2016",0
"Jan-2017",4.2
"Feb-2017",11.2
"Mar-2017",0
"Apr-2017",0
"May-2017",39.2
"Jun-2017",72.8
"Jul-2017",289.3
"Aug-2017",198.8
"Sep-2017",246.4
"Oct-2017",16.2
"Mar-2018",0.6
"Apr-2018",5.2
"May-2018",0.2
"Jun-2018",63
"Jul-2018",305.4
"Aug-2018",331.6
"Sep-2018",103.4
"Oct-2018",0
"May-2019",0
"Jul-2019",168.6
"Aug-2019",453.8
"Sep-2019",596.4
"Oct-2019",4.4
"Nov-2019",0
"Dec-2019",228
"Jan-2020",208
"Feb-2020",0
"Mar-2020",0
"Apr-2020",45.5
"May-2020",20.5
"Jun-2020",122.2
"Jul-2020",144.2
"Aug-2020",456.8
"Sep-2020",108.4
"Oct-2020",0.8
"Nov-2020",272
"Dec-2020",0
"Jan-2021",0
"Feb-2021",0
"Mar-2021",30
"Jun-2021",396.2
"Jul-2021",205
"Aug-2021",190.4
"Sep-2021",139.4
"Oct-2021",2
"Nov-2021",0
"Dec-2021",11.8
"Jan-2022",0
