Dates,ACTUAL (mm) 
"Nov-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",0
"May-2017",0
"Jun-2017",66.8
"Jul-2017",157.6
"Aug-2017",149.6
"Sep-2017",80.8
"Oct-2017",3.8
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",5.2
"Mar-2018",0
"Apr-2018",0
"May-2018",15.2
"Jun-2018",224.6
"Jul-2018",194.6
"Aug-2018",168.2
"Sep-2018",97.2
"Oct-2018",0
"Dec-2018",0
"Jan-2019",0
"May-2019",0
"Jul-2019",253.6
"Aug-2019",591
"Sep-2019",784.8
"Oct-2019",45.6
"Jun-2020",236.2
"Jul-2020",347.6
"Aug-2020",729
"Sep-2020",101
"Oct-2020",0
"Jun-2021",193.4
"Jul-2021",153.6
"Aug-2021",216.2
"Sep-2021",257.8
"Oct-2021",46.4
"Nov-2021",0
"Dec-2021",0
"Jan-2022",0
