undefined

Dates,ACTUAL (mm) 
"Jun-2016",167
"Jul-2016",477.6
"Aug-2016",465.2
"Sep-2016",202.6
"Oct-2016",14.4
"Nov-2016",0
"Dec-2016",0
"Jan-2017",1.8
"Feb-2017",25.8
"Mar-2017",1.6
"Apr-2017",0
"May-2017",20.6
"Jun-2017",104.8
"Jul-2017",378
"Aug-2017",113
"Sep-2017",176.8
"Oct-2017",27.8
"Nov-2017",0
"Dec-2017",0
"Jan-2018",0
"Feb-2018",26.8
"Mar-2018",0
"Apr-2018",7.2
"May-2018",0
"Jun-2018",88.4
"Jul-2018",420.8
"Aug-2018",319.8
"Sep-2018",66.4
"Oct-2018",0
"Dec-2018",13.2
"Mar-2019",29
"May-2019",0
"Jul-2019",227.6
"Aug-2019",654.5
"Sep-2019",811
"Oct-2019",91.2
"Nov-2019",12
"Dec-2019",218
"Jan-2020",263.5
"Feb-2020",16.5
"Mar-2020",5.5
"Apr-2020",2.5
"May-2020",114
"Jun-2020",163
"Jul-2020",227.5
"Aug-2020",631.2
"Sep-2020",137.4
"Oct-2020",88.2
"Nov-2020",81
"Dec-2020",0
"Jan-2021",0
"Feb-2021",0
"Mar-2021",51
"Apr-2021",0
"May-2021",88
"Jun-2021",265
"Jul-2021",234.8
"Aug-2021",238.6
"Sep-2021",222.8
"Oct-2021",80.2
"Nov-2021",0
"Dec-2021",0
"Jan-2022",25
