undefined

Dates,ACTUAL (mm) 
"Jun-2016",160
"Jul-2016",390.45
"Aug-2016",431.2
"Sep-2016",318.2
"Oct-2016",22
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",0
"May-2017",7.8
"Jun-2017",99.4
"Jul-2017",402
"Aug-2017",302.2
"Sep-2017",128
"Oct-2017",20.2
"Nov-2017",0.4
"Dec-2017",0
"Jan-2018",0
"Feb-2018",27
"Mar-2018",0
"Apr-2018",23.2
"May-2018",29.4
"Jun-2018",268.8
"Jul-2018",559.2
"Aug-2018",332.4
"Sep-2018",107.6
"Oct-2018",0.6
"Dec-2018",18.6
"May-2019",0
"Jul-2019",246
"Aug-2019",456.8
"Sep-2019",710.7
"Oct-2019",128.4
"Nov-2019",0
"Dec-2019",32.5
"Jan-2020",493
"Feb-2020",15.5
"Mar-2020",11.5
"Apr-2020",31.5
"May-2020",989
"Jun-2020",189
"Jul-2020",392.7
"Aug-2020",553.4
"Sep-2020",114.6
"Oct-2020",81.6
"Nov-2020",24.5
"Dec-2020",0
"Jan-2021",0
"Feb-2021",0
"Mar-2021",40
"Apr-2021",31.5
"May-2021",563.5
"Jun-2021",340.1
"Jul-2021",303.6
"Aug-2021",195.2
"Sep-2021",290.4
"Oct-2021",72.2
"Nov-2021",0
"Dec-2021",0
"Jan-2022",24.4
