undefined

Dates,ACTUAL (mm) 
"Jun-2016",89.6
"Jul-2016",754.4
"Aug-2016",236.2
"Sep-2016",85.6
"Oct-2016",21.2
"Nov-2016",0
"Dec-2016",0
"Jan-2017",3.6
"Feb-2017",8.2
"Mar-2017",0
"Apr-2017",0
"May-2017",17.6
"Jun-2017",145.4
"Jul-2017",273.4
"Aug-2017",106.2
"Sep-2017",94.8
"Oct-2017",8.4
"Nov-2017",0
"Feb-2018",17
"May-2018",10.2
"Jun-2018",142.4
"Jul-2018",260.4
"Aug-2018",142.4
"Sep-2018",58.6
"Oct-2018",0
"May-2019",0
"Jul-2019",278.6
"Aug-2019",629.4
"Sep-2019",449.4
"Oct-2019",14
"Nov-2019",0
"Dec-2019",90
"Jan-2020",12
"Feb-2020",0
"Mar-2020",0
"Apr-2020",0.5
"May-2020",48.5
"Jun-2020",156.6
"Jul-2020",217
"Aug-2020",834
"Sep-2020",236
"Oct-2020",0.2
"Nov-2020",0
"Dec-2020",0
"Jan-2021",3
"Feb-2021",0
"Mar-2021",207
"Apr-2021",0
"May-2021",239
"Jun-2021",185
"Jul-2021",236.8
"Aug-2021",248
"Sep-2021",213.3
"Oct-2021",12.4
"Nov-2021",0
"Dec-2021",1.4
"Jan-2022",0
